id,userEmail,bookId,borrowDate,dueDate,returnDate,isBorrow,status
1,sengkea@gmail.com,1,2025-01-01,2025-01-15,2025-01-17,false,COMPLETED
2,sengkea@gmail.com,4,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
3,sengkea@gmail.com,2,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
4,sengkea@gmail.com,2,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
5,utaike@gmail.com,1,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
6,utaike@gmail.com,4,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
7,sengkea@gmail.com,3,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
8,sengkea@gmail.com,1,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
9,sengkea@gmail.com,1,2025-01-17,2025-01-31,2025-01-17,false,COMPLETED
10,sengkea@gmail.com,1,2025-01-19,2025-02-02,2025-01-20,false,COMPLETED
11,sengkea@gmail.com,2,2025-01-19,2025-02-02,2025-01-20,false,COMPLETED
12,sengkea@gmail.com,3,2025-01-20,2025-02-03,2025-01-20,false,COMPLETED
13,java@gmail.com,4,2025-01-20,2025-02-03,,true,APPROVED
14,java@gmail.com,1,2025-01-20,2025-02-03,,true,APPROVED
15,sengkea@gmail.com,2,2025-01-20,2025-02-03,2025-01-20,false,COMPLETED
16,java@gmail.com,2,2025-01-20,2025-02-03,,true,APPROVED
17,sengkea@gmail.com,3,2025-01-20,2025-02-03,2025-01-20,false,COMPLETED
18,java@gmail.com,3,2025-01-20,2025-02-03,,true,APPROVED
19,sengkea@gmail.com,18,2025-01-20,2025-02-03,,true,APPROVED
20,sengkea@gmail.com,5,2025-01-20,2025-02-03,2025-01-22,false,COMPLETED
22,sengkea@gmail.com,5,2025-01-22,2025-02-05,2025-01-22,false,COMPLETED
23,sengkea@gmail.com,5,2025-01-22,2025-02-05,,true,REJECTED
24,sengkea@gmail.com,5,2025-01-22,2025-02-05,,true,REJECTED
25,sengkea@gmail.com,6,2025-01-22,2025-02-05,2025-01-22,false,COMPLETED
26,java@gmail.com,17,2025-01-22,2025-02-05,,true,APPROVED
27,sengkea@gmail.com,5,2025-01-23,2025-02-06,,true,APPROVED
28,sengkea@gmail.com,8,2025-01-23,2025-02-06,,true,APPROVED
29,sengkea@gmail.com,9,2025-01-23,2025-02-06,2025-01-24,false,COMPLETED
30,sengkea@gmail.com,20,2025-01-23,2025-02-06,,true,REJECTED
31,sengkea@gmail.com,14,2025-01-23,2025-02-06,2025-01-24,false,COMPLETED
35,sengkea@gmail.com,15,2025-01-23,2025-02-06,,true,REJECTED
36,sengkea@gmail.com,13,2025-01-23,2025-02-06,2025-01-24,false,COMPLETED
37,sengkea@gmail.com,13,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
38,sengkea@gmail.com,6,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
39,sengkea@gmail.com,19,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
40,sengkea@gmail.com,11,2025-01-24,2025-02-07,,true,REJECTED
41,koo@gmail.com,10,2025-01-24,2025-02-07,,true,APPROVED
42,koo@gmail.com,12,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
43,sengkea@gmail.com,9,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
44,sengkea@gmail.com,13,2025-01-24,2025-02-07,,true,APPROVED
45,sengkea@gmail.com,12,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
46,sengkea@gmail.com,7,2025-01-24,2025-02-07,2025-01-24,false,COMPLETED
47,sengkea@gmail.com,6,2025-01-24,2025-02-07,,true,APPROVED
48,sengkea@gmail.com,7,2025-01-24,2025-02-07,,true,APPROVED
